H,R1,R2
あ,a,
い,i,
う,u,
え,e,
お,o,
か,ka,
き,ki,
く,ku,
け,ke,
こ,ko,
さ,sa,
し,shi,
す,su,
せ,se,
そ,so,
た,ta,
ち,chi,
つ,tsu,
て,te,
と,to,
な,na,
に,ni,
ぬ,nu,
ね,ne,
の,no,
は,ha,
ひ,hi,
ふ,hu,
へ,he,
ほ,ho,
ま,ma,
み,mi,
む,mu,
め,me,
も,mo,
ら,ra,
り,ri,
る,ru,
れ,re,
ろ,ro,
や,ya,
ゆ,yu,
よ,yo,
わ,wa,
を,wo,
ん,nn,ng
が,ga,
ぎ,gi,
ぐ,gu,
げ,ge,
ご,go,
ざ,za,
じ,zi,
ず,zu,
ぜ,ze,
ぞ,zo,
だ,da,
ぢ,di,
づ,du,
で,de,
ど,do,
ば,ba,
び,bi,
ぶ,bu,
べ,be,
ぼ,bo,
ぱ,pa,
ぴ,pi,
ぷ,pu,
ぺ,pe,
ぽ,po,
きゃ,kya,
きゅ,kyu,
きょ,kyo,
しゃ,sya,
しゅ,syu,
しょ,syo,
りゃ,rya,
りゅ,ryu,
りょ,ryo,
みゃ,mya,
みゅ,myu,
みょ,myo,
ひゃ,hya,
ひゅ,hyu,
ひょ,hyo,
ちゃ,tya,cha
ちゅ,tyu,chu
ちょ,tyo,cho
ぎゃ,gya,
ぎゅ,gyu,
ぎょ,gyo,
じゃ,zya,ja
じゅ,zyu,ju
じょ,zyo,jo
びゃ,bya,
びゅ,byu,
びょ,byo,
ぴゃ,pya,
ぴゅ,pyu,
ぴょ,pro,
