K,R1,R2
ア,a,
イ,i,
ウ,u,
エ,e,
オ,o,
カ,ka,
キ,ki,
ク,ku,
ケ,ke,
コ,ko,
サ,sa,
シ,shi,
ス,su,
セ,se,
ソ,so,
タ,ta,
チ,chi,
ツ,tsu,
テ,te,
ト,to,
ナ,na,
ニ,ni,
ヌ,nu,
ネ,ne,
ノ,no,
ハ,ha,
ヒ,hi,
フ,hu,
ヘ,he,
ホ,ho,
マ,ma,
ミ,mi,
ム,mu,
メ,me,
モ,mo,
ラ,ra,
リ,ri,
ル,ru,
レ,re,
ロ,ro,
ヤ,ya,
ユ,yu,
ヨ,yo,
ワ,wa,
ヲ,wo,
ン,nn,ng
ガ,ga,
ギ,gi,
グ,gu,
ゲ,ge,
ゴ,go,
ザ,za,
ジ,zi,
ズ,zu,
ゼ,ze,
ゾ,zo,
ダ,da,
ヂ,di,
ヅ,du,
デ,de,
ド,do,
バ,ba,
ビ,bi,
ブ,bu,
ベ,be,
ボ,bo,
パ,pa,
ピ,pi,
プ,pu,
ペ,pe,
ポ,po,
キャ,kya,
キュ,kyu,
キョ,kyo,
シャ,sya,
シュ,syu,
ショ,syo,
リャ,rya,
リュ,ryu,
リョ,ryo,
ミャ,mya,
ミュ,myu,
ミョ,myo,
ヒャ,hya,
ヒュ,hyu,
ヒョ,hyo,
チャ,tya,cha
チュ,tyu,chu
チョ,tyo,cho
ギャ,gya,
ギュ,gyu,
ギョ,gyo,
ジャ,zya,ja
ジュ,zyu,ju
ジョ,zyo,jo
ビャ,bya,
ビュ,byu,
ビョ,byo,
ピャ,pya,
ピュ,pyu,
ピョ,pro,
